,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,نام سرور,CPU,RAM,هارد دیسک,پهنای باند ,ترافیک ماهیانه ,دیتاسنتر ,پشتیبانی,کنترل پنل,سیستم عامل,برند,مدت تحویل (روزکاری),هزینه‌ی راه‌اندازی (تومان),هزینه‌ی ماهیانه (تومان),قیمت سخت افزار,تمـام قـیمت هـــــا به تومان می باشد.,تعداد CPU Core,تعداد CPU Threads,سرعت پردازش (GHz),امکان مجازی‌سازی ,امکان RAID سخت‌افزاری ,امکان RAID نرم‌افزاری,سرعت کارت شبکه,اینترانت,تعداد اتصال به شبکه,زیرساخت شبکه,تعداد آدرس IP,حداکثر تعداد IP تک,هزینه‌ی IP اضافه,حداکثر IP در بلاک IP,کنترل پنل رایگان,CXS AntiShell (تومان),گارانتی بازگشت وجه,انتقال رایگان,ارائه KVM,دسترسی Reboot,دسترسی Rescue,امکان نصب مجدد رایگان,فضای پشتیبان رایگان,دسترسی به گراف ترافیک,مانیتورینگ سرویس‌ها,تمـام قـیمت هـــــا به تومان می باشد.
1,ایران۷ ,Xeon 3430,۸  گیگابایت,2x500G SATA,۱۰۰ مگابیت,۱ ترابایت,پارس آنلاین / افرانت,سطح یک,انتخابی,انتخابی,Asus,۱ تا ۳,"۵۰,۰۰۰","۴۰۲,۵۰۰",کلیک کنید,سفارش,۴,۴,2.4,جزئیات,['ok'],['ok'],۱ گیگابیت,انتخابی ,یک عدد ,Cisco Catalyst ,یک عدد ,۵ عدد,"۵,۰۰۰ تومان  ",۳۲ عدد,DirectAdmin,"۲۰,۰۰۰",۱۵روز, جزئیات, در صورت نیاز,['err'],['ok'],['ok'],۱۰۰ گیگابایت,['ok'],['ok'],سفارش
2,ایران۲۰,Xeon L5520,۲۴ گیگابایت,2x1TB SATA,۱۰۰ مگابیت,۳ ترابایت,پارس آنلاین / افرانت,سطح یک,انتخابی,انتخابی,HP,۱ تا ۳,"۵۰,۰۰۰","۴۷۲,۰۰۰",کلیک کنید,سفارش,۴,۸,2.26,جزئیات,['ok'],['ok'],۱ گیگابیت,انتخابی ,یک عدد ,Cisco Catalyst,یک عدد,۵ عدد,"۵,۰۰۰ تومان",۳۲ عدد,DirectAdmin,"۲۰,۰۰۰",۱۵روز, جزئیات, در صورت نیاز,['ok'],['ok'],['ok'],۱۰۰ گیگابایت,['ok'],['ok'],سفارش
3,ایران ۲۲,Xeon 5540,۳۲ گیگابایت ,2x1TB SATA + 2x240G SSD,۱۰۰ مگابیت,۳ ترابایت,پارس آنلاین / افرانت,سطح یک,انتخابی,انتخابی,HP,۱ تا ۳,"۵۰,۰۰۰","۶۷۸,۵۰۰",کلیک کنید,سفارش,۴,۸,2.53,جزئیات,['ok'],['ok'],۱ گیگابیت,انتخابی ,یک عدد ,Cisco Catalyst,یک عدد,۵ عدد,"۵,۰۰۰ تومان",۳۲ عدد,DirectAdmin,"۲۰,۰۰۰",۱۵روز, جزئیات, در صورت نیاز,['ok'],['ok'],['ok'],۱۰۰ گیگابایت,['ok'],['ok'],سفارش
4,ایران۱۴,2x Xeon L5520,۳۲ گیگابایت,2x1TB SATA,۱۰۰ مگابیت,۳ ترابایت,پارس آنلاین / افرانت,سطح یک,انتخابی,انتخابی,HP,۱ تا ۳,"۵۰,۰۰۰","۶۷۸,۵۰۰",کلیک کنید,سفارش,۲x۴,۲x۸,2.26,جزئیات,['ok'],['ok'],۱ گیگابیت,انتخابی ,یک عدد ,Cisco Catalyst ,یک عدد ,۵ عدد,"۵,۰۰۰ تومان",۳۲ عدد,DirectAdmin,"۲۰,۰۰۰",۱۵روز, جزئیات, در صورت نیاز,['ok'],['ok'],['ok'],۱۰۰ گیگابایت,['ok'],['ok'],سفارش
5,ایران۱۹,2x Xeon5650,۷۲ گیگابایت,4x1TB SAS,۱۰۰ مگابیت,۳ ترابایت,پارس آنلاین / افرانت,سطح یک,انتخابی,انتخابی,HP,۱ تا ۳,"۵۰,۰۰۰","۱,۱۳۸,۰۰۰",کلیک کنید,سفارش,۲x۶,۲x۱۲,2.66,جزئیات,['ok'],['ok'],۱ گیگابیت,انتخابی ,یک عدد ,Cisco Catalyst,یک عدد,۵ عدد,"۵,۰۰۰ تومان",۳۲ عدد,DirectAdmin,"۲۰,۰۰۰",۱۵روز, جزئیات, در صورت نیاز,['ok'],['ok'],['ok'],۱۰۰ گیگابایت,['ok'],['ok'],سفارش
