,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,نام سرور,CPUTYPE,RAM,نوع هارد دیسک ,فضا,نوع مجازی ساز ,پهنای باند ,ترافیک ماهیانه ,دیتاسنتر ,تعداد IP ,کنترل پنل,سیستم عامل,پشتیبانی,مدت تحویل (روزکاری),هزینه ی  راه اندازی(تومان) ,هزینه ی  ماهیانه(تومان),تمـام قـیمت هـــــا به تومان می باشد.,RAID,تعداد CPU Core,زیرساخت شبکه,حداکثر تعداد IP,کنترل پنل رایگان,گارانتی بازگشت وجه,انتقال رایگان,دسترسی VNC,دسترسی Reboot,امکان نصب مجدد رایگان,امکان نصب سیستم عامل دلخواه,گارانتی دسترسی به شبکه,فضای پشتیبان رایگان,دسترسی به گراف ترافیک,مانیتورینگ سرویس ها,هزینه ی IP اضافی(تومان),هزینه ی  هر 20گیگابایت ترافیک (تومان),هزینه ی  هر100 گیگابایت ترافیک (تومان),هزینه ی  هر 10 گیگ فضا (تومان),هزینه ی  هر 1 گیگا بایت RAM(تومان),هزینه ی   هر 1 عدد CPU Core(تومان),تمـام قـیمت هـــــا به تومان می باشد.,SERVICETYPE,PROVIDERLINK,PROVIDERID
1,VIR013,Dual core 2000,۱/۵ گیگابایت,SATA / SAS,۵۰ گیگابایت,KVM,۱۰ مگابیت,۴۵ گیگابایت,پارس‌آنلاین/افرانت,یک عدد,انتخابی,لینوکس,سطح یک,۱ تا ۳,"۱۵,۰۰۰","۸۸,۵۰۰",سفارش,['ok'],۲, Cisco Catalyst,دو عدد ,DA,۱۵روز, جزئیات,['ok'],['ok'],['ok'],['ok'],%۹۹,۲۰ گیگابایت,['ok'],['ok'],"۱۰,۰۰۰","۱۵,۰۰۰","۳۵,۰۰۰","۳۰,۰۰۰","۳۰,۰۰۰","۵۰,۰۰۰",سفارش,VPS,http://www.iranserver.com/vps/iran/,1
2,VIR014,Dual core 2000,۳ گیگابایت,SATA / SAS,۱۵۰ گیگابایت ,KVM,۱۰ مگابیت,۳۳۵ گیگابایت,پارس‌آنلاین/افرانت,یک عدد,انتخابی,لینوکس/ویندوز,سطح یک,۱ تا ۳,"۱۵,۰۰۰","۱۶۷,۵۰۰",سفارش,['ok'],۲, Cisco Catalyst,دو عدد ,DA / WSP,۱۵روز, جزئیات,['ok'],['ok'],['ok'],['ok'],%۹۹,۲۰ گیگابایت,['ok'],['ok'],"۱۰,۰۰۰","۱۵,۰۰۰","۳۵,۰۰۰","۳۰,۰۰۰","۳۰,۰۰۰","۵۰,۰۰۰",سفارش,VPS,http://www.iranserver.com/vps/iran/,1
3,VIR015,Dual core 2000,۴ گیگابایت,SATA / SAS,۱۷۵ گیگابایت ,KVM,۱۰ مگابیت,۴۰۵ گیگابایت ,پارس‌آنلاین/افرانت,یک عدد,انتخابی,لینوکس/ویندوز,سطح یک,۱ تا ۳,"۱۵,۰۰۰","۱۹۱,۰۰۰",سفارش,['ok'],۲, Cisco Catalyst,دو عدد ,DA / WSP,۱۵روز, جزئیات,['ok'],['ok'],['ok'],['ok'],%۹۹,۲۰ گیگابایت,['ok'],['ok'],"۱۰,۰۰۰","۱۵,۰۰۰","۳۵,۰۰۰","۳۰,۰۰۰","۳۰,۰۰۰","۵۰,۰۰۰",سفارش,VPS,http://www.iranserver.com/vps/iran/,1
4,VIR016,Dual core 2000,۵ گیگابایت,SATA / SAS,۲۰۰ گیگابایت ,KVM,۱۰ مگابیت,۴۷۵ گیگابایت ,پارس‌آنلاین/افرانت,یک عدد,انتخابی,لینوکس/ویندوز,سطح یک,۱ تا ۳,"۱۵,۰۰۰","۲۰۵,۰۰۰",سفارش,['ok'],۲, Cisco Catalyst,دو عدد ,DA / WSP,۱۵روز, جزئیات,['ok'],['ok'],['ok'],['ok'],%۹۹,۲۰ گیگابایت,['ok'],['ok'],"۱۰,۰۰۰","۱۵,۰۰۰","۳۵,۰۰۰","۳۰,۰۰۰","۳۰,۰۰۰","۵۰,۰۰۰",سفارش,VPS,http://www.iranserver.com/vps/iran/,1
